X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,outcome
0,7064,198,18,19,0.2,0.2,27,8851,19,0,0,0,0,0.2,0.2,15.6,16.8,1,6343,1857216,96
0,217813,4885,301,182,2.8,8.4,15,204250,21,0,0,0,0,0,0,256.6,252,3.8,1910,1576610,76
1,199257,4194,278,195,2.79,1.8,69,49131,55,1,1,0,1.2,4.39,5.99,161.88,315.37,2.2,340,1090001,80
0,461040,4547,1070,707,9,6,1,51939,21,0,0,0,0,10.8,20.8,431.4,719,5.4,2182,1727709,66
0,206743,420,93,30,0.8,1,1,111335,2,0,0,0,0,2,3,45.4,65.6,3.4,1761,1758696,94
0,1659,310,57,43,0.2,0.2,0,12639,0,0,0,0,0,0,0,16.8,20.4,3,538,1713112,96
9.18,101588,1942,232,253,0.6,0.6,8,204344,10,14.17,48.7,84.03,6.99,27.94,30.54,48.1,160.08,120,87,13,0
19.2,591437,3666,627,255,4.2,4.4,16,86958,37,57.6,87.8,89.2,6.6,23.6,31.2,275.2,591.6,1.5,212,988462,72
0,157572,2384,322,276,3.41,1.6,0,85444,5,0,0,0,0,8.02,8.82,166.73,288.98,2,906,1129504,84
6.39,402584,3872,342,296,6.39,6.19,18,268770,27,22.36,137.13,244.91,3.39,45.71,61.08,316.57,661.48,2,118,1004704,68
2.8,34233,614,127,91,0.2,0.2,0,22157,1,4.2,8.6,11.8,0.2,4.8,8.4,18,21.2,2.4,857,1704754,93
0,51245,320,63,43,0.2,0.2,0,8234,1,0,0,0,0,0,0,15.6,16.8,2.4,6320,1722646,97
21.36,683931,1048,124,69,1,1.4,9,188394,17,78.24,113.57,227.15,2.2,25.15,49.1,122.16,249.9,1,309,1051283,76
0,379080,394,208,51,0.2,0.2,1,332905,1,0,0,0,0,0,0,15.6,16.8,2.6,5746,1834560,97
0,143046,2089,183,143,0.8,1.4,77,144665,65,0,0,0,0,1.4,2.6,68,142.8,3.4,791,1631507,86
0,335386,5084,352,295,4.4,3,41,105668,40,0,0,0,0,1.2,1.6,242.8,361.2,4.4,965,1537475,78
0,19106,2116,122,147,0.4,0.2,13,226484,14,0,0,0,0,0.4,0.4,21.2,31.4,2,477,1523474,95
0,452,159,15,16,0.2,0.2,0,2755,0,0,0,0,0,0,0,15.6,16.8,1,7360,1865208,99
4.4,15069,1610,50,49,0.4,0.8,6,25364,7,5.4,5.4,3.4,2,2.6,2.6,38.6,69.4,1,137,1022242,93
0,762669,3233,273,212,2.4,2.4,0,37788,6,0,0,0,0,7.6,14.4,91.2,170.2,3.2,2216,1704267,84
0,137154,3162,147,108,3,6.4,2,17985,5,0,0,0,0,7.4,10.6,214.2,301.4,4.4,2756,1418467,85
1.2,168264,2443,243,81,2,2,0,22420,4,4,52.4,79.6,0,13,22.8,154.8,298.6,1,150,1066862,84
0,218353,2878,169,125,1.4,2,6,208284,14,0,0,0,0,2,4,96.4,174.4,5.6,2650,1564030,87
0,265286,3709,243,140,4.6,5.4,21,116407,54,0,0,0,0,4.2,6.4,285.6,428.4,5.6,2836,1565138,82
4.6,319514,4527,402,224,5.4,15.2,2,58917,44,36,91,279.6,0,53.8,95.8,190.8,430,3.5,132,1097944,69
0,168863,1490,279,229,1.6,1.4,2,24702,10,0,0,0,0.2,1.6,1.8,99.2,214.8,1,688,971408,89
0,74466,1150,120,81,1,2.4,11,22798,12,0,0,0,0,7.6,9.6,108,191,2,895,1016090,90
0,70457,2180,308,162,2,1.8,2,48047,10,0,0,0,0.4,1.2,6.6,123.6,209.4,3.2,1100,1534987,88
1,977,328,43,45,0.2,0.2,0,21791,0,1,1,0,0,1,1,15.6,16.8,1,294,1752520,95
0,216165,3219,273,237,5.8,4.8,47,140492,47,0,0,0,0.2,1.2,1.4,252.4,397.6,3,2759,1650349,82
0,8958,2154,78,121,0.2,0.2,0,19002,1,0,0,0,0,1,2,15.6,16.8,2.2,750,1720262,95
0,33505,3231,112,98,0.2,0.2,0,22795,0,0,0,0,0,0,0,15.6,17.2,1.8,427,1754056,88
3.21,259358,2938,167,91,5.01,13.03,66,47170,64,3.61,3.61,0,1.8,5.81,5.81,178.16,381.56,3.2,223,1087484,79
0,109923,3305,276,129,4.19,4.59,0,43134,18,0,0,0,0,10.58,11.58,192.81,423.75,3,1168,1108353,78
0,3715,1925,88,96,0.2,0.2,0,12124,1,0,0,0,0,0.4,0.4,13,16.8,2,1414,1725048,97
0,4409,681,49,44,0.2,0.2,1,20747,1,0,0,0,0,0.2,0.2,16.2,20.6,2,912,1074280,97
0,2738,175,10,22,0.2,0.2,0,21092,0,0,0,0,0,0,0,15.57,16.77,1.4,8334,1861017,98
1.8,233251,4243,291,210,2,0.6,70,135677,76,8,15,26.6,0,8.8,20.4,100,176.6,4.2,154,1326290,90
0,225329,5763,322,275,4.2,3.4,9,158009,15,0,0,0,0,0.6,0.6,266.2,356.8,6.2,1164,1614413,78
0,178356,488,138,34,0.2,0.2,28,159984,19,0,0,0,0,0,0,14.51,12.92,2.2,5481,1817940,98
0,3939,2135,68,103,0.2,0.2,0,12896,1,0,0,0,0,0.4,0.4,15.6,18.6,2.6,1416,1725048,95
1.6,96120,3416,224,175,10.4,35.2,2,93186,13,2,2,0,0.4,2.4,2.4,332,638.2,1.3,188,1088254,66
0,41239,1557,97,84,2,2.4,0,16244,2,0,0,0,0,2.8,3,115,155,3.4,518,1053942,91
5.99,829628,1148,170,88,2.4,2.79,1,35348,4,6.19,10.38,14.37,0.6,2,2.2,183.63,189.02,3,147,1801689,84
0,15060,1755,156,129,0.8,0.8,0,6223,1,0,0,0,0,1.6,2.6,52.6,83.8,2.2,336,1381960,95
0,57502,253,24,14,1,5.6,0,22233,1,0,0,0,0,0.2,0.2,33,49.2,2,4027,1821648,97
14.2,145463,5406,252,156,5,18.4,1,50994,10,20,38.4,75.6,1.6,4.4,5,339.4,463.8,1,183,1022437,74
0,95208,2431,143,152,0.6,2,3,71983,3,0,0,0,0,0.8,0.8,35.8,66.2,2.6,1436,1725152,93
27.54,521690,3510,404,264,4.79,4.39,7,226437,22,52.89,44.51,6.79,1.8,2.59,2.59,260.68,455.69,280,75,25,0
0.8,295353,1221,172,99,0.6,0.8,43,33811,37,1.6,2,2.4,2.6,6.6,22,51.6,129.6,336,90,9,0
0,339713,1603,131,81,2,2.79,0,35013,13,0,0,0,0.2,4.39,5.59,176.85,298.4,2.6,1439,1543773,89
